trait;PT;AU;BA;CA;GP;RI;OI;BE;Z2;TI;X1;Y1;Z1;FT;PN;AE;Z3;SO;S1;SE;BS;VL;IS;SI;MA;BP;EP;AR;DI;D2;SU;PD;PY;AB;X4;Y4;Z4;AK;CT;CY;SP;CL;TC;Z8;ZB;ZS;Z9;SN;BN;UT;PM
Seedmass;J;Franklin, J;;;;;;;;Regeneration and growth of pioneer and shade-tolerant rain forest trees in Tonga;;;;;;;;NEW ZEALAND JOURNAL OF BOTANY;;;;41;4;;;669;684;;;;;DEC 2003;2003;"Size distributions were analysed for 25 tree species (4331 individuals) from among those recorded in 64 plots in the Vava'u island group, Kingdom of Tonga, in 1995. These species were assigned to four groups representing their regeneration patterns (association with either gaps or low light microsites as seedlings and/or as larger trees). The distribution of tree diameters was calculated from early- (n = 28) and late-successional (n = 36) plots to determine where the species were regenerating, Six years later 1110 of these trees were remeasured Average net growth increment was used as an estimate of growth rate, and maximum growth increment as potential growth rate, for each species. Most shade-tolerant, late successional species had low growth rates and a lognormal size distribution in late-successional plots, as expected. One species in this group, however, had the highest estimated average growth rate in the study. The second group of species, found in shade as seedlings but abundant as small trees in early-successional plots (e.g., ""mid-successional""), as well as the third group, found in gaps as seedlings but most abundant in late-successional plots, shared high growth rates. The fourth group, pioneer species establishing in large gaps, were not regenerating in late-successional plots but, unexpectedly, had estimated growth rates comparable to the other groups. Tongan rain forest has diverse regeneration functional types, analogous to those found in richer continental tropical forest, but perhaps represented by different numbers of tree species.";;;;;;;;;16;0;14;1;16;0028-825X;;WOS:000187572400006;
Seedmass;J;"Hoffmann, WA; Franco, AC";;;;"Franco, Augusto/B-1615-2008; Hoffmann, William/E-8894-2010";Hoffmann, William/0000-0002-1926-823X;;;Comparative growth analysis of tropical forest and savanna woody plants using phylogenetically independent contrasts;;;;;;;;JOURNAL OF ECOLOGY;;;;91;3;;;475;484;;10.1046/j.1365-2745.2003.00777.x;;;juin-03;2003;1 The savanna-forest boundary in the tropics is marked by a discontinuity not only in tree density, but also in species composition, with few tree species regularly occurring in both savanna and forest environments.2 We performed comparative growth analysis for nine congeneric pairs, each containing one savanna species and one forest species, grown in a factorial design involving two light and two nutrient levels.3 Contrary to predictions, there was no difference in relative growth rates (RGR) between savanna and forest species. However, there were clear differences in allocation patterns and in phenotypic responses to light intensity. Savanna species allocated more biomass to roots and maintained lower leaf area per unit plant mass (LAR), and lower leaf area per unit leaf mass (SLA).4 Savanna species also exhibited greater phenotypic plasticity in specific leaf area, leaf area ratio and net assimilation rate in response to light intensity. An increase in LAR in response to shading of savanna species offset a decrease in net assimilation rate per unit leaf area (NAR), such that RGR was largely unaffected.5 For most plant traits measured, more of the interspecific variation could be attributed to differences among genera than to differences between the two functional types, indicating that these seedling traits are highly conserved within the congeneric species pairs. Many of these traits were correlated to seed mass, which is itself highly conserved within genera.;;;;;;;;;82;0;87;18;94;0022-0477;;WOS:000183144700014;
Seedmass;J;Lawrence, D;;;;;;;;The response of tropical tree seedlings to nutrient supply: meta-analysis for understanding a changing tropical landscape;;;;;3;;;JOURNAL OF TROPICAL ECOLOGY;;;;19;;;;239;250;;10.1017/S0266467403003274;;;MAY 2003;2003;Current literature on the response of tropical tree seedlings to fertilization was analysed. Fertilization effects on biomass accumulation, relative growth rate and tissue nitrogen (N) and phosphorus (P) were examined for seedlings grown under relatively high light. Higher light conditions in gaps are expected as human disturbance expands in tropical landscapes. Two questions were asked: (1) Does nutrient addition enhance growth or result in nutrient accumulation in the tissues of tropical tree seedlings grown in pots under high light? (2) Are these responses conditional on their adaptations to light availability, seed mass or growth form? Most of the species (73% of light-demanding and 60% of shade-tolerant) demonstrated a positive growth response to fertilization. The magnitude of the response of light-demanding species was more than twice that of shade-tolerant species. A higher proportion of shade-tolerant species accumulated nutrients in their tissues (up to 95% for P), but over half the light-demanding species did so as well. For both types of species, a higher percentage accumulated P than N. Responses in growth and in P accumulation were negatively correlated with seed mass. Shrubs responded more than trees in biomass accumulation, but there was a trend toward greater response by trees in relative growth rate and N and P accumulation. The results suggest that variation in nutrient availability could affect the structure of tropical forests regenerating from large-scale disturbance. In fertile sites, competitive exclusion may occur within the light-demanding species, resulting in a decline in local tree diversity. Depending on the effects of human disturbance on nutrient availability, loss of tree diversity at a local scale may compound diversity loss due to habitat destruction at the landscape scale.;;;;;;;;;33;0;33;2;36;0266-4674;;WOS:000183658600003;
Seedmass;J;"Sousa, WP; Kennedy, PG; Mitchell, BJ";;;;;;;;Propagule size and predispersal damage by insects affect establishment and early growth of mangrove seedlings;;;;;;;;OECOLOGIA;;;;135;4;;;564;575;;10.1007/s00442-003-1237-0;;;MAY 2003;2003;Variation in rates of seedling recruitment, growth, and survival can strongly influence the rate and course of forest regeneration following disturbance. Using a combination of field sampling and shadehouse experiments, we investigated the influence of propagule size and predispersal insect damage on the establishment and early growth of the three common mangrove species on the Caribbean coast of Panama: Avicennia germinans, Laguncularia racemosa, and Rhizophora mangle. In our field samples, all three species exhibited considerable intraspecific variation in mature propagule size, and suffered moderate to high levels of predispersal attack by larval insects. Rates of insect attack were largely independent of propagule size both within and among trees. Our experimental studies using undamaged mature propagules showed that, for all three species, seedlings established at high rates regardless of propagule size. However, propagule size did have a marked effect on early seedling growth: seedlings that developed from larger propagules grew more rapidly. Predispersal insect infestations that had destroyed or removed a substantial amount of tissue, particularly if that tissue was meristematic or conductive, reduced the establishment of propagules of all three species. The effect of sublethal tissue damage or loss on the subsequent growth of established seedlings varied among the three mangrove species. For Avicennia, the growth response was graded: for a propagule of a given size, the more tissue lost, the slower the growth of the seedling. For Laguncularia, the response to insect attack appeared to be all-or-none. If the boring insect penetrated the outer spongy seed coat and reached the developing embryo, it usually caused sufficient damage to prevent a seedling from developing. On the other hand, if the insect damaged but did not penetrate the seed coat, a completely healthy seedling developed and its growth rate was indistinguishable from a seedling developing from an undamaged propagule of the same size. Similar to Avicennia, if an infestation did not completely girdle a Rhizophora seedling, it survived, but grew at a reduced rate. In summary, our experiments demonstrated that natural levels of variation in propagule size and predispersal damage by insects translate into significant differences in seedling performance in terms of establishment and/or early growth.-Such differences are sufficiently large that they could influence the intensity and outcome of competitive interactions during forest regeneration.;;;;;;;;;24;2;24;0;27;0029-8549;;WOS:000183722700010;12684857
Seedmass;J;"Castro-Diez, P; Montserrat-Marti, G; Cornelissen, JHC";;;;;;;;Trade-offs between phenology, relative growth rate, life form and seed mass among 22 Mediterranean woody species;;;;;;;;PLANT ECOLOGY;;;;166;1;;;117;129;;10.1023/A:1023209230303;;;MAY 2003;2003;Mediterranean woody plants exhibit a wide phenological diversity which cannot be explained just on the basis of climatic constraints. We assessed the role of relative growth rate (RGR), life form, seed and fruit mass as potential constraints of plant phenology. In a comparison of traits of 22 Mediterranean woody plant species, the duration of the primary shoot growing period decreased from climbers to shrubs and to trees. A hypothesised negative association between RGR and primary shoot growth duration did not emerge in our species set. The mechanism underlying phenological differences between plant life forms might relate to differences in the proportion of respiring to photosynthetic tissues, which decreases from climbers to trees. It is suggested that the degree of shoot preformation within the bud correlates with primary shoot growth duration, but not with RGR. Development of big fruits and seeds competes for carbon with vegetative growth. Indeed, species with bigger seeds and fruits exhibited shorter primary shoot growing periods, which tended to overlap with flower bud formation and flowering periods. We suggest that duration of primary shoot growth allow to short out the species between two extreme growth strategies: The conservative one would be characterised by a concentration of the primary shoot growth into a short period, free of frosts and droughts, and by a diversion of part of the current resources to assure next year's growth. The opportunistic strategy, on the other extreme, would be defined by the allocation of resources to current growth whenever they are available, achieving longer growing periods at the expense of higher risk of tissue damage. These strategies should have been selected for in environments of predictable and unpredictable resource availability, respectively.;;;;;;;;;26;0;26;1;28;1385-0237;;WOS:000182132400010;
Seedmass;J;Bloor, JMG;;;;;;;;Light responses of shade-tolerant tropical tree species in north-east Queensland: a comparison of forest- and shadehouse-grown seedlings;;;;;2;;;JOURNAL OF TROPICAL ECOLOGY;;;;19;;;;163;170;;10.1017/S0266467403003183;;;mars-03;2003;Shadehouse design may have a significant influence on the results of shadehouse studies investigating the light responses of tropical seedlings. Shadehouse effects were investigated by examining the seedling growth and morphological properties of four shade-tolerant tree species from north-east Queensland in the forest and in neutral-density shadehouses for up to 1 y. Understorey plots were compared with 0.8% shadehouses, and single-treefall gaps were compared with 10% shadehouses. Seedlings of all species showed higher growth rates in the shadehouses compared with the equivalent forest treatments. Nonetheless, trends found between high- and low-light growth rates in the shadehouse seedlings were mirrored in forest-grown seedlings. Specific leaf area (SLA) values in the shadehouses provided a good approximation of SLA in the forest for species in both light treatments. In contrast, biomass allocation and leaf area ratios were only comparable for forest and shadehouse seedlings grown in the high-light treatment. Furthermore. seedlings grown in shadehouses differed significantly from forest-grown seedlings in terms of their root morphology. Despite the differences in absolute values of plant characters in the shadehouse and forest seedlings, 65% of significant differences detected between high- and low-light plant characters in shadehouse-grown seedlings were also found in the forest-grown plants.;;;;;;;;;13;8;14;1;25;0266-4674;;WOS:000182606600005;
Seedmass;J;"Paz, H; Martinez-Ramos, M";;;;;;;;Seed mass and seedling performance within eight species of Psychotria (Rubiaceae);;;;;;;;ECOLOGY;;;;84;2;;;439;450;;"10.1890/0012-9658(2003)084[0439:SMASPW]2.0.CO;2";;;FEB 2003;2003;Large seeds have been hypothesized to confer survival advantages in the shaded forest, and small seeds to confer growth advantages in open habitats. We explored these hypotheses using experimental studies in both field and controlled conditions. Our experiments examined intraspecific effects of seed mass on seedling demography in eight sympatric woody species of Psychotria. We compared the effects of seed mass on seedling size (biomass), maximum relative growth rate (RGR), the proportion of emerged seedlings that survived until one year of age, and the proportion of Sown seeds reaching the stage of one-year-old seedlings in gaps compared with shaded rain forest habitats, as well as in contrasting greenhouse, light conditions. For each species, seeds were classified into four seed mass categories and introduced to three pairs of shaded forest gap sites. In the greenhouse, emerged seedlings from different seed mass categories were grown in contrasting light environments. A positive effect of seed mass on seedling survival was observed in six of seven species in the shaded forest but only in two species in gaps. Final seedling biomass was positively related to seed mass in five species in the shaded forest, but only in two species in gaps. In some species,RGR decreased with seed mass. Consequently, the biomass achieved by small-seeded seedlings with relatively fast growth rates was similar to that of seedlings derived from large seeds. The probability of recruitment increased with seed mass in four of seven species in the shaded forest, but only in two species in gaps. Negative effects of seed mass on recruitment occurred only in one species, and only in gaps. The positive effects of seed mass on seedling biomass and survival observed under shaded greenhouse conditions were weaker than those observed in the shaded forest. Overall, our results indicate that: (1) seed mass influences recruitment in natural forest habitats, (2) larger seeds confer higher probability of recruitment in the shaded forest by producing seedlings with larger size and higher probability of survival, and (3) in natural habitats ecological factors in addition to light (e.g., seed predators) operated selectively on seedlings emerging from seeds differing in mass.;;;;;;;;;47;5;50;3;56;d_c-58;;WOS:000181482600017;
Seedmass;J;"Bloor, JMG; Grubb, PJ";;;;;;;;Growth and mortality in high and low light: trends among 15 shade-tolerant tropical rain forest tree species;;;;;;;;JOURNAL OF ECOLOGY;;;;91;1;;;77;85;;10.1046/j.1365-2745.2003.00743.x;;;FEB 2003;2003;1 Past work on tropical rain forest tree seedlings has been dominated by contrasts between strongly light-demanding and strongly shade-tolerant species. We examined patterns of growth and mortality among shade-tolerant tree seedlings in response to light, and investigated the morphological and physiological correlates of high seedling growth and survival rates across species.2 Seedlings of 15 tree species from Australian tropical lowland forest were grown for up to 1 year in neutral-density shadehouses at three light levels (10%, 0.8% and 0.2% full daylight). All species showed negligible mortality in the 10% and 0.8% shadehouses, but survival was significantly reduced in 0.2% daylight.3 Seedling survival rate in 0.2% daylight showed no significant relationship with either the dry mass of seed reserves (embryo plus endosperm), or relative growth rates in dry mass (RGR(M) ) in 0.8% and 10% light.4 The RGR(M) values in 0.8% and 10% daylight were strongly positively correlated, and showed a strong negative correlation with the dry mass of seed reserves. Interspecific variation in low-light RGR(M) was driven by unit leaf rate (rate of accumulation of dry mass per unit area of leaf), whereas interspecific variation in high-light RGR(M) was most closely correlated with leaf area ratio (leaf area per total plant dry mass).5 Variation in seedling characters in response to light may have important implications for the coexistence of shade-tolerant tropical tree species.;;;;;;;;;52;4;55;1;61;0022-0477;;WOS:000180744300008;
Seedmass;J;"Poorter, H; Navas, ML";;;;Poorter, Hendrik/B-8062-2010;Poorter, Hendrik/0000-0001-9900-2433;;;Plant growth and competition at elevated CO2: on winners, losers and functional groups;;;;;;;;NEW PHYTOLOGIST;;;;157;2;;;175;198;;10.1046/j.1469-8137.2003.00680.x;;;FEB 2003;2003;The effects of increased atmospheric CO2 concentrations on vegetative growth and competitive performance were evaluated, using five meta-analyses. Paying special attention to functional groups, we analysed responses at three integration levels: carbon economy parameters, vegetative biomass of isolated plants, and growth in competition. CO2 effects on seed biomass and plant-to-plant variability were also studied. Underlying the growth stimulation is an increased unit leaf rate (ULR), especially for herbaceous dicots. This is mainly caused by an increase in the whole-plant rate of photosynthesis. The increased ULR is accompanied by a decrease in specific leaf area. The net result of these and other changes is that relative growth rate is only marginally stimulated. The biomass enhancement ratio (BER) of individually grown plants varies substantially across experiments/species, and size variability in the experimental populations is a vital factor in this. Fast-growing herbaceous C3 species respond more strongly than slow-growing C3 herbs or C4 plants. CAM species and woody plants show intermediate responses. When grown in competition, C4 species show lowest responses to elevated CO2 at high nutrient conditions, whereas at low nutrient levels N-2-fixing dicots respond relatively strongly. No systematic differences were found between slow- and fast-growing species. BER values obtained for isolated plants cannot be used to estimate BER of the same species grown in interspecific competition - the CO2 response of monocultures may be a better predictor.;;;;;;;;;241;5;217;2;262;0028-646X;;WOS:000180609700002;
Seedmass;J;"Campbell, DR; Rochefort, L";;;;;;;;Germination and seedling growth of bog plants in relation to the recolonization of milled peatlands;;;;;;;;PLANT ECOLOGY;;;;169;1;;;71;84;;10.1023/A:1026258114901;;;2003;2003;Two controlled experiments were conducted to evaluate the potential for vascular plants to germinate and establish in milled peatlands and to assess whether easily measured plant traits can be used to predict their probable success. Study species included twenty species of perennial herbs, shrubs and trees occurring frequently in undisturbed bogs or abandoned milled bogs in Quebec, Canada. First, a glasshouse experiment was performed to test the effect of burial under peat on germination and seedling emergence. Second, a growth chamber experiment was conducted to measure relative growth rate and other growth parameters of seedlings between 1 and 3 weeks of age. In the burial experiment, seedling emergence decreased exponentially with peat depth for most species examined. The slope of the exponential decline varied between species and was strongly correlated to seed mass. Seeds less than 0.1 mg in mass were most sensitive to burial. In the seedling growth experiments, Betula species had the highest absolute and relative growth rates, which may help to explain their prevalence in milled bogs. Relative growth rate (RGR) was not correlated with seed mass, however it was strongly correlated with leaf area ratio (LAR) and especially specific leaf area (SLA) of seedlings, except for species with seed mass less than 0.01 mg. Screening of species for seed mass and SLA should help predict their germination and establishment success or failure in milled peatlands and allow more directed interventions to favour the establishment of desirable species in milled bogs.;;;;;;;;;15;4;17;0;22;1385-0237;;WOS:000186132100007;
Seedmass;J;"Hooper, E; Condit, R; Legendre, P";;;;;;;;Responses of 20 native tree species to reforestation strategies for abandoned farmland in Panama;;;;;;;;ECOLOGICAL APPLICATIONS;;;;12;6;;;1626;1641;;10.2307/3099927;;;DEC 2002;2002;"Deforestation in the tropics often leads to unproductive agriculture and results in abandoned, degraded grasslands that tree species recolonize poorly. To evaluate why forests do not regenerate naturally and to identify potential species for use in reforestation of degraded areas, we planted 15 000 seeds of 20 native tree species, varying in seed size and shade tolerance, in abandoned Panamanian farmland dominated by the exotic grass, Saccharum spontaneum. To determine the effects of above- and belowground constraints on tree seedling germination, survival, and growth, we used four mowing and shading treatments of the Saccharum. Shading the Saccharum effectively eliminated it, whereas mowing led to increased light aboveground, but did not reduce Saccharum growth rate. Germination, survival, and growth of tree seedlings approximately doubled in shade treatments compared to the unshaded control, but were lowest when the Saccharum was mowed three times. Fire significantly decreased germination and survival.Some species did not follow these general trends, however: we identified four species groups that varied in their response to Saccharum competition. Very small-seeded, light-demanding species performed poorly, and we do not recommend their use in reforestation because they tolerate neither above- nor belowground constraints imposed by the Saccharum. Light-demanding species with large seeds were limited by aboveground constraints, namely, shading. Small-seeded, shade-tolerant species were limited by belowground constraints imposed by the Saccharum. Large-seeded, moderately to highly shade-tolerant species performed well in the Saccharum; we recommend a reforestation strategy that includes planting this last group.";;;;;;;;;74;4;72;1;84;1051-0761;;WOS:000179986700006;
Seedmass;J;Kitajima, K;;;;Kitajima, Kaoru/E-8877-2012;;;;Do shade-tolerant tropical tree seedlings depend longer on seed reserves? Functional growth analysis of three Bignoniaceae species;;;;;;;;FUNCTIONAL ECOLOGY;;;;16;4;;;433;444;;10.1046/j.1365-2435.2002.00641.x;;;AUG 2002;2002;1. A functional growth analysis was used to determine the duration of strict dependency on seed reserves for energy and nitrogen in three woody Bignoniaceae species (Tabebuia rosea DC., Challichlamys latifolia K. Schum. and Pithecoctenium crucigerum A. Gentry) which differed in cotyledon function (photosynthetic, semi-photosynthetic and storage) and shade tolerance (probability of seedling establishment and survival in the understorey).2. Seedlings were raised from seeds in sand culture under combinations of three nitrogen levels (daily supply of nutrient solution containing 100, 10 and 0% of 2.6 mm N) and two irradiances (27 and 1% full sun). Time course of biomass, non-cotyledonous biomass and leaf area for 40 days post-germination were compared to identify when the external availability of nitrogen or light began to affect seedling growth.3. Seedlings of all species became dependent on external energy supply earlier than they did on nitrogen supply. In all species seed nitrogen was sufficient to support positive seedling growth for 40 days in shade, but not in sun.4. Tabebuia rosea with photosynthetic cotyledons responded to light availability earlier than more shade-tolerant species with storage cotyledons. Challichlamys latifolia , the most shade-tolerant species, had the highest nitrogen concentration in seeds and was the last to respond to external nitrogen availability. Thus seedlings of the most shade-tolerant species depended on seed reserves for the longest period for both energy and nitrogen.5. Relative growth rate after seedlings initiated autotrophic growth was in a trade-off relationship with seedling survivorship in the understorey across the three species. Tabebuia rosea , the least shade-tolerant species, had the highest positive net carbon balance in sun and shade.6. Functional morphology of cotyledons and concentration of seed nitrogen deserve as much attention as seed size as correlates of contrasting seedling regeneration strategies.;;;;;;;;;51;1;47;2;54;0269-8463;;WOS:000177256800002;
Seedmass;J;"Dalling, JW; Hubbell, SP";;;;;;;;Seed size, growth rate and gap microsite conditions as determinants of recruitment success for pioneer species;;;;;;;;JOURNAL OF ECOLOGY;;;;90;3;;;557;568;;10.1046/j.1365-2745.2002.00695.x;;;juin-02;2002;1 We examined how seed size and seedling growth rate influence recruitment success of neotropical pioneer species. We investigated the soil seed bank, and followed seedlings from emergence and establishment to the sapling stage in artificially created gaps in secondary forest on the Barro Colorado Nature Monument, Panama.2 To simulate microsite variation within gaps, litter addition/removal and soil disturbance treatments were applied to seedling plots in a factorial design.3 Seedling emergence was almost three-fold higher in litter-free plots than in control plots.4 We found a negative relationship between seed mass and seed abundance in the soil, seed mass was positively correlated with seedling emergence success from the seed bank and with seedling survival through to the end of the first dry season.5 In the 18 months following the first dry season we observed an uncoupling of seed mass from seedling performance. Seedling mortality was now a function of maximum relative growth rate, with higher mortality of fast-growing species attributable to herbivory, notably by shoot-borers.6 We propose that a seed size-dependent trade-off between dispersal success (selecting for large seed number), and emergence-establishment success (selecting for large seed size) can explain the maintenance of wide variation in seed size among pioneer species. Secondarily, a trade-off between growth rate and susceptibility to herbivores acting at the post-establishment phase may contribute to observed differences in light requirements among pioneer species.;;;;;;;;;160;17;168;10;193;0022-0477;;WOS:000175666900013;
Seedmass;J;"Metcalfe, DJ; Grubb, PJ; Metcalfe, SS";;;;"Metcalfe, Daniel/G-3305-2010; Metcalfe, Suzanne/I-4255-2012";"Metcalfe, Daniel/0000-0001-6853-7072; ";;;Soil dilution as a surrogate for root competition: effects on growth of seedlings of Australian tropical rainforest trees;;;;;;;;FUNCTIONAL ECOLOGY;;;;16;2;;;223;231;;10.1046/j.1365-2435.2002.00614.x;;;APR 2002;2002;1. Previous studies on the combined effects of light and nutrient supply on the growth rates of plants have involved adding nutrients to soils to levels rarely (or never) met by the plants in nature. As a better test of the likely response of plants to root competition for nutrients. we grew for 1 year seedlings of six species of Australian rainforest tree on forest topsoil undiluted and on soil diluted 50/50, 25/75 and 5/95 with coarse sand. Seedlings were grown in tall tubes in 6 and 9% daylight, equivalent to gap-edge and gap-centre conditions.2. The six species varied in their light requirements for establishment and onward growth.3. One species grew significantly and markedly more quickly on soil diluted 50/50 with sand (Elaeocarpus grandis). Improved aeration is the most likely explanation.4. The extent of inhibition by soil dilution correlated positively with the absolute amount of new dry mass accreted in one year, whether the larger accretion resulted from a combination of high relative growth rate (RGR) and small embryo size, or moderate RGR and larger embryo size.5. Soil dilution generally reduced leaf mass fraction and leaf area ratio, but had no significant effect on specific leaf area.6. In all species the overall concentration of nitrogen in the whole plant declined with soil dilution, in the four species tested, N concentration in leaves declined, and it is likely that the reduction in growth arose partly from a reduced unit leaf rate. Most species showed increases in the concentrations of P, K, Ca and Mg with soil dilution, or no change, but in Diploglottis bracteata the concentrations of Ca and Mg, especially in the older leaves, declined markedly with soil dilution, and one of these cations could have been limiting growth.7. Extrapolation of the results to the field suggests that in single-treefall gaps the fastest growing species will the most inhibited by root competition.8. The soil-dilution technique is likely to be more appropriate than nutrient addition as an indicator of sensitivity to root competition on a given soil.;;;;;;;;;8;0;8;0;9;0269-8463;;WOS:000175467600009;
Seedmass;J;"Kang, Hyesoon; Lee, Woong-Sang";;;;;;;;Responses of maternal siblings of Pinus densiflora to simulated acid rain;;;;;;;;Journal of Plant Biology;;;;44;3;;;131;140;;;;;September, 2001;2001;Because most research on acid rain does not consider the genetic composition of seeds and the inherent variations in seed mass and germination date, the potentially diverse patterns of plant response are neglected within a population. Therefore, we examined the effects of both family identity and simulated acid rain on Pinus densiflora seedlings over a 34-week period, beginning at germination. We were able to evaluate the importance of family and pH treatment independent of seed mass and germination date by considering the latter two variables as covariates. Seeds were collected from six randomly chosen trees that were assumed to represent different genotypes. After germination in a controlled environment, the seedlings were moved outdoors. Each was then subjected twice a week to 40 mL of simulated acid rain, at a pH of either 3.0 or 5.6. We examined variations in germination date, seedling height, needle numbers and lengths, and root and shoot masses. The maternal family effect was significant for all characters over the entire test period. Strong effects of pH treatment were detected only at the later growth stages. Artificial rain with a pH of 3.0 enhanced growth rates, particularly aboveground, compared with seedlings treated with pH 5.6 rain. However, regardless of pH, certain groups of maternal siblings consistently performed better in almost all parameters. The exception was for mean germination date, which differed among families only at a pH of 3.0. Therefore, although we demonstrated that acid rain affected both the date of germination as well as seedling growth rates in P. densiflora, the responses differed among maternal families, and were also associated with seed mass and germination date.;;;;;;;;;2;2;2;0;4;1226-9239;;BCI:BCI200200238041;
Seedmass;J;"Merouani, H; Branco, C; Almeida, MH; Pereira, JS";;;;;;;;Effects of acorn storage duration and parental tree on emergence and physiological status of Cork oak (Quercus suber L.) seedlings;;;;;;;;ANNALS OF FOREST SCIENCE;;;;58;5;;;543;554;;;;;JUL-AUG 2001;2001;This study was conducted to evaluate how parental trees and seed storage duration influenced subsequent seedling physiological status and growth. Seedling emergence rate was higher than 90% independently of the duration of seed storage or parental trees. Seed storage shortened significantly the time and increased the uniformity of seedling emergence. Consequently, the delayed seedling emergence from fresh seeds could be explained by epicotyl dormancy. Seed size varied with parental tree. Seedling growth rate was greatly affected by seed size, independently of storage treatment. Seedlings originating from large seeds (>5 g) had the fastest growth rates and seedlings from the smallest seeds (<4 g) had the slowest. Final shoot height, however, depended on the duration of seed storage. The seed size and the duration of storage had a great effect on the initial rate of leaf production, but did not affect the final number of leaves. Leaf chlorophyll concentration was reduced as the duration of seed storage increased but was independent of parental tree (i.e., seed size). Seedling biomass was positively related to seed size. The duration of seed storage reduced the shoot/root ratio, but no significant effect was observed among parental trees. The shoot/root value of seedlings from stored seed was about 1.5 and the one of seedlings from fresh seed was about 2.;;;;;;;;;9;0;7;0;9;1286-4560;;WOS:000170394500005;
Seedmass;J;"Oleksyn, J; Reich, PB; Tjoelker, MG; Chalupka, W";;;;Oleksyn, Jacek/I-4539-2012;;;;Biogeographic differences in shoot elongation pattern among European Scots pine populations;;;;;;;;FOREST ECOLOGY AND MANAGEMENT;;;;148;01-mars;;;207;220;;10.1016/S0378-1127(00)00537-5;;;JUL 1 2001;2001;Results are presented of shoot elongation of 10-year-old trees of 19 European Pinus sylvestris populations growing in a provenance experiment in central Poland. Populations exhibited different shoot elongation patterns with montane southern (40-44 degreesN) and lowland northern (58-60 degreesN) populations having lower growth rates and earlier onset of growth cessation than those from the central lowland part (47-55 degreesN) of European species' range. Average absolute growth rates ranged from 6.6 mm per day for populations of southern origin to 9.2 mm per day for populations from central Europe. Shoot elongation period explained ca. 50-60% and differences in growth rate from 40 to 50% of total differences in annual increment among population groups. There was a linear relationship (r(2)=0.73, P <0.0001) between mean annual temperature (m.a.t.) of seed origin and mean relative growth rate. Populations originating from seeds collected in colder regions (3-6 degrees m.a.t.) had shorter shoot elongation periods than those from warmer (7-10 degreesC m.a.t.) environments. The duration of the shoot elongation period alone explained 86% of total height variation at age 10 years in this experimental site and from 42 to 80% variation in five other sites (in Poland and Croatia) established with same seed lots. Shoot elongation period was negatively related to the proportion of mass allocated to roots, underlying a possible linkage between shoot phenology and below-ground growth, (C) 2001 Elsevier Science B.V. All rights reserved.;;;;;;;;;14;0;13;0;15;0378-1127;;WOS:000169328200018;
Seedmass;J;"Green, JJ; Newbery, DM";;;;Newbery, David/I-2379-2013;Newbery, David/0000-0002-0307-3489;;;Light and seed size affect establishment of grove-forming ectomycorrhizal rain forest tree species;;;;;;;;NEW PHYTOLOGIST;;;;151;1;;;271;289;;10.1046/j.1469-8137.2001.00156.x;;;juil-01;2001;Regeneration of the dominant ectomycorrhizal tree Microberlinia bisulcata in groves in Korup, Central Africa, is very poor. The hypothesis was tested that this species is more shade intolerant than other co-occurring species.In two 1-yr trials, each with M. bisulcata and four other species at a nursery close to Korup, growth was measured under five PAR levels, with +/- added P and +/- watering in the dry season. In parallel experiments the effects of PAR with two R : FR ratios were investigated.Increasing PAR had a consistent effect on the rates of increase in plant mass and on changes in the other variables. Doubling soil P, watering and halving the R : FR ratio had almost no effect. However, across species, mass at low PAR and relative growth rate related positively and negatively, respectively, to seed mass.One contributing factor for the poor recruitment of M. bisulcata is therefore its low survival and slow growth at low PAR, due to its small seed size. The two codominant ectomycorrhizal grove species of Tetraberlinia, with larger seeds, were less affected by low PAR. (C) New Phytologist (2001) 151: 271-289.;;;;;;;;;18;0;19;1;19;0028-646X;;WOS:000169482700023;
Seedmass;J;"Pasonen, HL; Pulkkinen, P; Kapyla, M";;;;;;;;Do pollen donors with fastest-growing pollen tubes sire the best offspring in an anemophilous tree, Betula pendula (Betulaceae)?;;;;;;;;AMERICAN JOURNAL OF BOTANY;;;;88;5;;;854;860;;10.2307/2657037;;;MAY 2001;2001;The relationship between pollen and progeny performance has been a subject of many studies but the evidence for pollen-tube growth rate as an indicator of progeny fitness is equivocal. We used an anemophilous tree, Betula pendula, to examine the relationship between pollen-tube growth rate and seed and seedling performance. We crossed nine maternal plants with pollen from six pollen donors in a clonal B. pendula seed orchard, measured the pollen-tube growth rates for every cross, and analyzed the performance of the resulting seeds and seedlings. The only significant positive correlation was found between pollen-tube growth rate and seed mass when we controlled for seed number per inflorescence. Using seed mass as a covariate. we found that only maternal parent had a significant effect on the number of seeds per inflorescence, the percentage of germinable and embryonic seeds, and early seedling growth. Both maternal and paternal parents had significant effects on seedling height after 85 d of growth. These results are in concordance with the general view that maternal effects are usually most apparent in seed characters and during early plant growth. This study does not provide strong evidence for the theory of pollen-tube growth rare as an indicator of progeny quality.;;;;;;;;;13;2;15;0;16;f_vr-22;;WOS:000168768900011;11353710
Seedmass;J;"Sack, L; Grubb, PJ";;;;Sack, Lawren/A-5492-2008;;;;Why do species of woody seedlings change rank in relative growth rate between low and high irradiance?;;;;;;;;FUNCTIONAL ECOLOGY;;;;15;2;;;145;154;;10.1046/j.1365-2435.2001.00507.x;;;APR 2001;2001;;;;;;;;;;74;2;66;0;77;0269-8463;;WOS:000168273700001;
